date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,flood,label_hujan
7/4/2016,23.0,34.4,27.7,84.0,50.5,4.8,3.0,100.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
7/5/2016,25.2,34.4,27.2,86.0,4.3,7.2,3.0,180.0,2.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/6/2016,24.0,34.2,28.4,81.0,14.2,7.6,3.0,50.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/8/2016,24.4,33.8,28.2,81.0,12.8,8.6,3.0,60.0,2.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/12/2016,24.2,33.6,27.0,90.0,24.5,4.4,3.0,160.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/13/2016,24.0,32.2,26.6,90.0,21.7,5.8,3.0,50.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/14/2016,24.8,32.8,28.2,83.0,0.8,3.7,4.0,60.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/18/2016,24.0,34.0,26.4,86.0,4.0,3.8,5.0,200.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/19/2016,23.4,32.0,26.3,94.0,42.8,7.7,4.0,260.0,1.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/20/2016,23.8,31.2,25.5,90.0,2.3,5.3,4.0,50.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
7/21/2016,23.4,33.4,27.7,82.0,29.6,2.7,4.0,240.0,2.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
7/22/2016,23.6,31.0,25.0,94.0,0.6,7.6,2.0,100.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
7/24/2016,24.2,33.3,26.6,88.0,1.7,8.4,3.0,160.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
7/25/2016,23.8,32.0,26.4,90.0,24.0,7.6,3.0,280.0,1.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/26/2016,23.0,33.8,27.3,78.0,12.0,2.4,2.0,240.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
7/30/2016,24.8,33.6,28.1,82.0,14.2,4.9,3.0,110.0,2.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/2/2016,24.2,34.0,27.2,80.0,1.2,8.4,7.0,180.0,2.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/3/2016,23.0,33.8,28.1,69.0,40.0,6.9,3.0,70.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/8/2016,26.4,31.8,27.8,82.0,0.6,7.4,3.0,130.0,1.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/9/2016,24.2,32.6,26.7,85.0,9.7,2.3,3.0,220.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/10/2016,23.2,34.0,27.4,81.0,43.3,4.9,3.0,80.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/12/2016,24.8,32.8,28.0,83.0,4.0,4.5,3.0,70.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/13/2016,26.6,32.6,28.7,75.0,0.3,7.6,3.0,270.0,2.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/14/2016,24.7,31.0,26.1,89.0,9.9,2.8,3.0,60.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/15/2016,24.4,31.6,27.5,83.0,19.0,1.0,3.0,60.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/18/2016,25.4,33.0,27.7,82.0,2.9,7.8,3.0,190.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/20/2016,23.4,34.0,27.7,76.0,25.0,6.3,3.0,220.0,2.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
8/22/2016,24.2,32.0,27.5,77.0,25.2,8.0,2.0,100.0,1.0,SE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/23/2016,24.0,33.1,27.9,79.0,21.5,7.7,2.0,230.0,0.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/24/2016,25.0,32.4,27.5,82.0,0.1,6.1,3.0,110.0,1.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/25/2016,24.2,32.5,26.8,81.0,1.0,7.9,2.0,280.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
8/28/2016,22.6,33.2,27.3,85.0,58.0,3.3,3.0,80.0,0.0,N ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
